靡ㄩ絏	虏嘿	るら	厨筍瞯
M2300  	筿摸计   	20001110	  -0.4335
M2300  	筿摸计   	20001113	  -5.9614
M2300  	筿摸计   	20001114	  -0.8928
M2300  	筿摸计   	20001115	  -0.6521
M2300  	筿摸计   	20001116	  -4.7671
M2300  	筿摸计   	20001117	  -0.7603
M2300  	筿摸计   	20001118	  -3.9772
M2300  	筿摸计   	20001120	  -6.4422
M2300  	筿摸计   	20001121	   6.2881
M2300  	筿摸计   	20001122	  -0.3074
M2300  	筿摸计   	20001123	   0.0188
M2300  	筿摸计   	20001124	   5.6287
M2300  	筿摸计   	20001127	   0.2670
M2300  	筿摸计   	20001128	  -1.9774
M2300  	筿摸计   	20001129	  -1.6407
M2300  	筿摸计   	20001130	  -1.3550
M2300  	筿摸计   	20001201	   2.0343
M2300  	筿摸计   	20001202	  -2.0377
M2300  	筿摸计   	20001204	  -2.5879
M2300  	筿摸计   	20001205	  -0.3834
M2300  	筿摸计   	20001206	  -0.7350
M2300  	筿摸计   	20001207	   0.7831
M2300  	筿摸计   	20001208	  -0.1808
M2300  	筿摸计   	20001211	   0.0077
M2300  	筿摸计   	20001212	   2.2658
M2300  	筿摸计   	20001213	  -0.4409
M2300  	筿摸计   	20001214	  -1.5025
M2300  	筿摸计   	20001215	  -1.5216
M2300  	筿摸计   	20001216	  -1.3891
M2300  	筿摸计   	20001218	  -2.0496
M2300  	筿摸计   	20001219	  -1.5593
M2300  	筿摸计   	20001220	  -2.4827
M2300  	筿摸计   	20001221	  -2.9583
M2300  	筿摸计   	20001222	  -0.7285
M2300  	筿摸计   	20001226	  -2.0443
M2300  	筿摸计   	20001227	  -2.2876
M2300  	筿摸计   	20001228	   4.1302
M2300  	筿摸计   	20001229	  -1.7355
M2300  	筿摸计   	20001230	  -1.5923
M2300  	筿摸计   	20010102	   5.0127
M2300  	筿摸计   	20010103	  -1.0488
M2300  	筿摸计   	20010104	   6.1325
M2300  	筿摸计   	20010105	   5.0220
M2300  	筿摸计   	20010108	  -2.5318
M2300  	筿摸计   	20010109	   4.8217
M2300  	筿摸计   	20010110	   1.3827
